Trip Start Timestamp,Trip ID,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Fare,Tip,Additional Charges,Trip Total,Shared Trip Authorized,Trips Pooled,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Year,Month,Weekday,Hour of Day
2018-12-21 00:45:00,0a261fdd1c76526f698dad6d8f3c8e75a27ed5c1,2018-12-21 01:00:00,633.0,3.5,57.0,65.0,9.12,0.0,3.0,12.12,False,1,41.81124373142131,-87.72631365877301,41.771268546554026,-87.72691582902921,2018,12,Friday,0
2018-12-21 00:45:00,86bc3667ed05e567a54b26a3028d95c8f56ba57b,2018-12-21 01:00:00,1367.0,19.5,76.0,,24.29,0.0,9.1,33.39,False,1,41.97827097610105,-87.9033884050963,,,2018,12,Friday,0
2018-12-21 00:45:00,386c4272224e1bdb6f6627c007e0725a842ee1ce,2018-12-21 01:00:00,1024.0,7.4,8.0,22.0,13.44,2.5,2.5,18.439999999999998,False,1,41.89206899982461,-87.63161369526941,41.927535063733494,-87.70065815239192,2018,12,Friday,0
2018-12-21 01:00:00,77f85c6b0e6a09dfdf7b9c13e34c9ab9610542ca,2018-12-21 01:00:00,419.0,1.6,33.0,28.0,6.4,2.5,3.0,11.9,False,1,41.86045463997899,-87.61865870176297,41.86758516953066,-87.64338070430209,2018,12,Friday,1
2018-12-21 01:00:00,b20fed3aa4e5b94757ba812900cb651250b8204f,2018-12-21 01:15:00,1340.0,6.3,24.0,19.0,5.04,0.0,2.5,7.54,True,3,41.89280897445606,-87.66877765897686,41.919697528606335,-87.7589121223825,2018,12,Friday,1
2018-12-21 01:00:00,b5f1f18fa80ae3fb2de555d54947187cc4e2c497,2018-12-21 01:15:00,861.0,3.4,5.0,8.0,7.9,0.0,0.0,7.9,True,1,41.946713643346435,-87.68342602284453,41.89935596026569,-87.6342179550899,2018,12,Friday,1
2018-12-21 01:15:00,661d42dd7c15e868c130391e8905719ea4a12596,2018-12-21 01:30:00,1610.0,15.9,,6.0,22.9,6.5,3.5,32.9,False,1,,,41.94619577886922,-87.65398501295999,2018,12,Friday,1
2018-12-21 01:15:00,9ca791b6a04278d0e23f8e22878c26acb94d66c0,2018-12-21 01:30:00,1217.0,5.6,20.0,14.0,14.25,0.0,2.5,16.75,False,1,41.924237973270564,-87.73172051126265,41.968605973739066,-87.72247416817407,2018,12,Friday,1
2018-12-21 01:15:00,ca58c67c1166e132e4eaf585ae0228bdba995dde,2018-12-21 01:30:00,881.0,4.7,21.0,6.0,11.19,0.0,3.0,14.19,False,1,41.93799768614844,-87.71284074300087,41.944361877451115,-87.6576103640486,2018,12,Friday,1
2018-12-21 01:15:00,3714d03647acc5cf9afaa597b29e22380369e259,2018-12-21 01:45:00,1649.0,21.4,33.0,76.0,27.54,0.0,7.5,35.04,False,1,41.84784531078145,-87.62290681896937,41.979490003050934,-87.90257878855488,2018,12,Friday,1
2018-12-21 01:15:00,b24bf5be6e3c031fd6f2c7329a8a36ed0bc9031c,2018-12-21 02:00:00,2520.0,37.6,28.0,,47.85,0.0,3.47,51.32,False,1,41.8778391732218,-87.6576654474095,,,2018,12,Friday,1
2018-12-21 01:15:00,01cbe5f90eabc0c19132b0085c0c52d92d42585e,2018-12-21 02:00:00,1904.0,19.2,8.0,,25.6,10.0,4.45,40.050000000000004,False,1,41.89267536765826,-87.62879423733496,,,2018,12,Friday,1
2018-12-21 01:30:00,9146df78ce36250e7ddb0d21d89c92c2ac10bd98,2018-12-21 01:30:00,167.0,0.7,15.0,15.0,2.96,0.0,3.5,6.46,False,1,41.95429283770661,-87.76211428687047,41.95378568971349,-87.76201590317648,2018,12,Friday,1
2018-12-21 01:45:00,9f1592619882657a91c43e4255c865f8b878e7e7,2018-12-21 02:00:00,982.0,12.0,8.0,,17.77,0.0,2.5,20.27,False,1,41.89925538240743,-87.63468994226989,,,2018,12,Friday,1
2018-12-21 01:45:00,a6353821a35c5d1390b130acb3c3838697541f58,2018-12-21 02:00:00,808.0,4.5,24.0,21.0,8.98,0.0,3.0,11.98,False,1,41.89865324079937,-87.65322986217731,41.94304896133237,-87.71484110395228,2018,12,Friday,1
2018-12-21 01:45:00,3892ed65b6d8262def2d44eda641b9171b4b15c5,2018-12-21 02:00:00,767.0,2.5,7.0,8.0,8.25,0.0,4.0,12.25,False,1,41.92158448289122,-87.65125869055285,41.89359471084863,-87.63781768705056,2018,12,Friday,1
2018-12-21 02:00:00,5d7833736391a1cf9c2dcfa7d2747b9aeb40630b,2018-12-21 02:30:00,2161.0,19.9,,28.0,22.95,1.5,2.77,27.22,True,2,,,41.868478435106056,-87.64232690632863,2018,12,Friday,2
2018-12-21 02:15:00,2cad1cb697834238584a5e2e742da7084938fad0,2018-12-21 02:30:00,811.0,5.5,6.0,8.0,10.59,0.0,3.0,13.59,False,1,41.94265393697187,-87.65176070902619,41.89338662387537,-87.63736487070007,2018,12,Friday,2
2018-12-21 02:15:00,3356cf79d7bf6048f6f1027602e18ae7f3589e57,2018-12-21 02:30:00,854.0,8.4,24.0,12.0,13.52,2.5,3.0,19.02,False,1,41.901260666598866,-87.67541535608773,41.994091751298406,-87.75961637632155,2018,12,Friday,2
2018-12-21 02:15:00,d85dd2a2428d7f325e041d3a3d04c979b477dd20,2018-12-21 02:30:00,949.0,5.6,21.0,3.0,10.02,0.0,2.5,12.52,False,1,41.93884007844461,-87.71077257368853,41.96664847336158,-87.65467346280161,2018,12,Friday,2
2018-12-21 02:15:00,1de0ca0ce7c4f0ff8e752c2a0928df84ca0548d9,2018-12-21 02:45:00,1996.0,18.6,8.0,,25.11,0.0,3.0,28.11,False,1,41.891826311538814,-87.62794183882669,,,2018,12,Friday,2
2018-12-21 02:30:00,dc5e402e49d0eb49ee49026ea49a49a15104aefb,2018-12-21 02:45:00,654.0,3.5,7.0,6.0,7.9,0.0,3.0,10.9,False,1,41.923802644389305,-87.65015296084209,41.94390850705394,-87.65546304045854,2018,12,Friday,2
2018-12-21 02:30:00,b09d73761fd9ec5c98bdf004e836354edd01dec8,2018-12-21 03:00:00,1313.0,11.9,59.0,43.0,20.09,0.0,0.0,20.09,True,1,41.82888361131836,-87.67311015653002,41.761382186801605,-87.57380268745531,2018,12,Friday,2
2018-12-21 02:45:00,872b87540e865f90995b197aaa13f6b5c04feee3,2018-12-21 03:00:00,1317.0,13.7,24.0,,21.17,0.0,3.0,24.17,False,1,41.90674033936257,-87.68961315205888,,,2018,12,Friday,2
2018-12-21 02:45:00,5a97fd505b66c96f9f498eb1bbc92ba9d755f75e,2018-12-21 03:15:00,1548.0,13.4,22.0,1.0,20.46,5.0,2.5,27.96,False,1,41.924502159278674,-87.69823678490008,42.011234364127624,-87.66985429195717,2018,12,Friday,2
2018-12-21 03:00:00,ed9deef2423061373b17f2be1e0466429d12f976,2018-12-21 03:00:00,391.0,1.5,7.0,6.0,6.51,0.0,3.5,10.01,False,1,41.9204442905977,-87.64912801830125,41.94458491082329,-87.65710703015316,2018,12,Friday,3
2018-12-21 03:00:00,5fcec183dc2133bb430bda47b39a20dd8e78a73f,2018-12-21 03:15:00,946.0,5.6,61.0,70.0,10.83,0.0,3.0,13.83,True,1,41.81017324952964,-87.65866381616834,41.746898648977094,-87.71012990089191,2018,12,Friday,3
2018-12-21 03:00:00,2aff7666c2eb5425e089d0d4db6f9e28b19135a7,2018-12-21 03:15:00,703.0,2.9,21.0,22.0,9.17,0.0,0.0,9.17,True,1,41.93959481786623,-87.72349592040206,41.922586290477966,-87.6915448178302,2018,12,Friday,3
2018-12-21 03:15:00,8c2064133f32775905bbfc88ee775dc47697a0cd,2018-12-21 03:15:00,478.0,2.0,77.0,2.0,5.26,0.0,3.0,8.26,False,1,41.98584250129981,-87.66333240556457,42.00111502262017,-87.69617692322169,2018,12,Friday,3
2018-12-21 03:15:00,9a92aa6f79028732da0ea2c04327f5cdbfd411e8,2018-12-21 03:30:00,719.0,1.7,28.0,28.0,8.04,3.0,2.5,13.54,False,1,41.87379901637098,-87.66425439241225,41.875007958631386,-87.66155564184805,2018,12,Friday,3
2018-12-21 03:30:00,f432824ad37c5c19d1566b375843a88ce3f54754,2018-12-21 03:45:00,552.0,2.2,7.0,6.0,6.07,0.0,2.5,8.57,False,1,41.9221497229412,-87.64828548451025,41.945040134144186,-87.6562357944339,2018,12,Friday,3
2018-12-21 03:30:00,571dee729758c463b751715db7aed32b5dc735ff,2018-12-21 04:00:00,1849.0,12.3,49.0,,17.53,0.0,3.5,21.03,True,1,41.70589675213443,-87.62369803078434,,,2018,12,Friday,3
2018-12-21 03:30:00,9957262c808159aed6ff09365d46d782c0fb83d2,2018-12-21 04:00:00,1564.0,8.2,28.0,6.0,10.31,0.0,0.0,10.31,True,2,41.87293051703134,-87.66291589301703,41.94432385573869,-87.65470259813358,2018,12,Friday,3
2018-12-21 04:00:00,785d0b9d61899ea57f3d3e3273c65bd7f410c7be,2018-12-21 04:30:00,1751.0,24.6,,76.0,31.01,0.0,8.25,39.260000000000005,False,1,,,41.97802268423586,-87.9030385183074,2018,12,Friday,4
